,crime_type,crime_category,date,address,y_lon,x_lat,neighborhood
242673,homicide-other,murder,2017-12-21 18:28:00,,-104.762957,39.7801127,gateway-green-valley-ranch
242674,homicide-other,murder,2017-01-11 19:37:00,,-104.8370175,39.7767508,montbello
242675,homicide-other,murder,2018-12-23 13:43:00,,-104.8389125,39.7863287,montbello
242676,homicide-other,murder,2021-05-09 04:22:00,,-104.8479745,39.772296,central-park
242677,homicide-other,murder,2019-11-24 21:24:00,1505 S FEDERAL BLVD,-105.0257565,39.6890698,mar-lee
242678,homicide-other,murder,2021-05-19 20:47:00,2600 BLOCK S FEDERAL BLVD,-105.0249875,39.6693471,college-view-south-platte
242679,homicide-other,murder,2018-03-17 19:59:00,,-105.0346021,39.7403349,west-colfax
242680,homicide-other,murder,2021-06-08 22:32:00,,-104.9034554,39.7401439,montclair
242681,homicide-other,murder,2020-12-20 11:46:00,1000 BLK W 14TH AVE,-105.0008033,39.7382308,lincoln-park
242682,homicide-other,murder,2019-08-03 01:00:00,4200 BLK W 38TH AVE,-105.0420784,39.7694913,berkeley
242683,homicide-other,murder,2017-08-21 19:25:00,44 S PENNSYLVANIA ST,-104.9811496,39.7156893,speer
242684,homicide-other,murder,2017-04-28 07:58:00,1600 BLK N UINTA ST,-104.8931845,39.7423343,east-colfax
242685,homicide-other,murder,2020-07-01 22:33:00,2800 BLOCK N DOWNING ST,-104.9732723,39.7573523,whittier
242686,homicide-other,murder,2020-08-16 22:38:00,,-105.0250953,39.7111723,westwood
242687,homicide-other,murder,2019-12-08 11:51:00,1211 S QUEBEC WAY,-104.9028007,39.6946729,washington-virginia-vale
242688,homicide-other,murder,2020-08-04 04:59:00,1500 BLOCK N VALENTIA ST,-104.8913627,39.7408232,east-colfax
242689,homicide-other,murder,2020-07-06 06:55:00,2900 BLK N POPLAR ST,-104.9042952,39.7589121,north-park-hill
242690,homicide-other,murder,2021-11-10 03:08:00,,-105.0049251,39.7391651,lincoln-park
242691,homicide-other,murder,2018-08-22 08:35:00,,-104.8619644,39.6584037,kennedy
242692,homicide-other,murder,2021-03-08 15:32:00,1499 NORTH BROADWAY STREET,-104.987485,39.7398975,civic-center
242693,homicide-other,murder,2019-01-21 05:08:00,,-104.9811328,39.7506449,five-points
242694,homicide-other,murder,2017-07-16 21:50:00,,-105.0166847,39.6983724,athmar-park
242695,homicide-other,murder,2020-07-07 20:50:00,,-104.8450739,39.7830825,montbello
242696,homicide-other,murder,2021-05-07 07:53:00,10700 E DARTMOUTH AVE,-104.8619644,39.6584037,kennedy
242697,homicide-other,murder,2021-08-06 23:35:00,1499 N BROADWAY ST,-104.987485,39.7398975,civic-center
242698,homicide-other,murder,2018-10-22 02:13:00,2980 E 35TH AVE,-104.9527637,39.7655329,clayton
242699,homicide-other,murder,2017-05-10 01:46:00,7100 E EVANS AVE,-104.9056326,39.6775151,goldsmith
242700,homicide-other,murder,2021-03-11 01:40:00,8500 E COLFAX AVE,-104.8887504,39.7398516,east-colfax
242701,homicide-other,murder,2017-07-29 02:53:00,3298 N HUDSON ST,-104.9238814,39.7634762,northeast-park-hill
242702,homicide-other,murder,2018-02-26 17:58:00,1090 S GROVE ST,-105.0262258,39.6969425,westwood
242703,homicide-other,murder,2021-08-18 18:38:00,,-105.0433432,39.7418983,west-colfax
242704,homicide-other,murder,2019-07-02 05:06:00,3607 N MADISON ST,-104.9464886,39.7673539,clayton
242705,homicide-other,murder,2021-03-11 05:42:00,9400 BLOCK E 40TH AVE,-104.8790837,39.7733619,central-park
242706,homicide-other,murder,2021-04-12 07:12:00,1090 S PARKER RD,-104.8989515,39.6972284,windsor
242707,homicide-other,murder,2021-03-11 08:12:00,I70 HWYEB / N PEORIA ST,-104.8470371,39.7740066,central-park
242708,homicide-other,murder,2017-03-18 18:45:00,E COLFAX AVE / N LOGAN ST,-104.982328,39.7400232,capitol-hill
242709,homicide-other,murder,2020-07-02 02:13:00,800 BLK S KNOX CT,-105.0322006,39.7021331,westwood
242710,homicide-other,murder,2018-12-15 09:36:00,5050 N TROY ST,-104.8417153,39.7883484,montbello
242711,homicide-other,murder,2020-09-18 18:37:00,9999 E YALE AVE,-104.872373,39.6681618,hampden
242712,homicide-other,murder,2017-11-06 16:38:00,,-104.9085463,39.7504178,south-park-hill
242713,homicide-other,murder,2020-07-28 05:17:00,1555 N LAFAYETTE ST,-104.9712682,39.7410557,city-park-west
242714,homicide-other,murder,2021-11-26 15:33:00,4515 W 2ND AVE,-105.0450814,39.7206182,barnum-west
